utc_hour,predicted_probability,predicted_probability_percent,predicted_class_at_0_50,probability_rank
0,0.10499125787655765,10.499125787655766,0,8
1,0.08409928019349217,8.409928019349216,0,13
2,0.06656676010423504,6.656676010423504,0,15
3,0.0468995802167413,4.68995802167413,0,20
4,0.03531879692537635,3.5318796925376352,0,23
5,0.03305751584749346,3.305751584749346,0,24
6,0.043060094079334754,4.306009407933475,0,22
7,0.04561582420701783,4.561582420701783,0,21
8,0.061718715860240435,6.171871586024044,0,17
9,0.06171871586024046,6.1718715860240465,0,16
10,0.058221760892908835,5.822176089290884,0,18
11,0.057535757439409606,5.753575743940961,0,19
12,0.12137890662753338,12.137890662753339,0,6
13,0.17278098114353588,17.278098114353586,0,3
14,0.2391608597690427,23.91608597690427,0,1
15,0.19998888045696792,19.99888804569679,0,2
16,0.14868169117010555,14.868169117010554,0,4
17,0.1280633564190723,12.806335641907229,0,5
18,0.11126798523818146,11.126798523818145,0,7
19,0.09963513356648762,9.963513356648763,0,10
20,0.10163358116457286,10.163358116457285,0,9
21,0.08491891838593499,8.4918918385935,0,12
22,0.09680054435574341,9.680054435574341,0,11
23,0.07921975167845198,7.921975167845198,0,14
